benchmark_id,label,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14
0,255.0,4.584967613220215,5.407171726226807,2.2886598110198975,0.49426573514938354,5.713732719421387,0.0794702023267746,0.5993377566337585,0.0,1.0,1.165751576423645,1.6094379425048828,1.1343884468078613,0.006189964711666107,0.023178808391094208,0.34454575181007385
1,141.0,4.553876876831055,5.323009967803955,2.170212745666504,0.39791667461395264,5.541263580322266,0.08661417663097382,0.5433070659637451,0.0,1.0,1.143064022064209,1.3862943649291992,1.1232408285140991,0.00623359577730298,0.019685039296746254,0.2893674373626709
2,52.0,3.4011974334716797,4.143134593963623,2.1379311084747314,0.250954806804657,4.369447708129883,0.12820513546466827,0.5,0.0,1.0,1.1314021348953247,1.3862943649291992,1.119754672050476,0.020471464842557907,0.07692307978868484,0.30026066303253174
3,80.0,4.077537536621094,4.852030277252197,2.189655065536499,0.4836399257183075,5.081404209136963,0.10625000298023224,0.53125,0.0,1.0,1.1370785236358643,1.3862943649291992,1.1253353357315063,0.010137795470654964,0.03125,0.29149147868156433
4,353.0,5.164785861968994,5.973809719085693,2.252873659133911,0.49100664258003235,6.249975204467773,0.07543520629405975,0.5880077481269836,0.0,1.0,1.1647521257400513,1.6094379425048828,1.1315892934799194,0.0034243871923536062,0.013539651408791542,0.33881521224975586
5,96.0,4.356709003448486,5.105945587158203,2.1298701763153076,0.23342391848564148,5.365975856781006,0.14084507524967194,0.4976525902748108,0.0,1.0,1.1420973539352417,1.3862943649291992,1.120284914970398,0.007901065051555634,0.028169013559818268,0.32312655448913574
6,25.0,3.4339871406555176,4.127134323120117,2.0333333015441895,0.14614474773406982,4.356709003448486,0.19480518996715546,0.41558441519737244,0.0,1.0,1.1420973539352417,1.3862943649291992,1.1115156412124634,0.020438577979803085,0.07792207598686218,0.3080601096153259
7,273.0,4.787491798400879,5.58349609375,2.226890802383423,0.4033152461051941,5.883322238922119,0.10335195809602737,0.5642458200454712,0.0,1.0,1.1512559652328491,1.6094379425048828,1.128875970840454,0.005101718008518219,0.01955307275056839,0.3480430245399475
8,60.0,4.127134323120117,4.8903489112854,2.1639344692230225,0.3329406976699829,5.247024059295654,0.19576719403266907,0.48148149251937866,0.0,1.0,1.159766674041748,1.3862943649291992,1.128153920173645,0.010541927069425583,0.042328041046857834,0.3907996416091919
9,300.0,4.9972124099731445,5.80814266204834,2.2585034370422363,0.5107815861701965,6.115891933441162,0.10398229956626892,0.5707964897155762,0.0,1.0,1.1470646858215332,1.3862943649291992,1.1312593221664429,0.004111579153686762,0.017699114978313446,0.3495391607284546
10,285.0,4.574710845947266,5.407171726226807,2.3125,0.5429778099060059,5.758901596069336,0.10126582533121109,0.594936728477478,0.0,1.0,1.1394343376159668,1.3862943649291992,1.1338491439819336,0.006329114083200693,0.025316456332802773,0.3719462752342224
11,231.0,4.9972124099731445,5.7683210372924805,2.1700680255889893,0.36282771825790405,5.981414318084717,0.06835442781448364,0.5594936609268188,0.0,1.0,1.1468143463134766,1.3862943649291992,1.1227902173995972,0.00396809633821249,0.015189873054623604,0.2946583032608032
12,181.0,4.8978400230407715,5.659482002258301,2.1503758430480957,0.3337124288082123,5.863631248474121,0.07407407462596893,0.5470085740089417,0.0,1.0,1.148622751235962,1.3862943649291992,1.1211484670639038,0.00438308110460639,0.01994301937520504,0.29418307542800903
13,216.0,4.532599449157715,5.337538242340088,2.25,0.4936446249485016,5.587248802185059,0.05639097839593887,0.597744345664978,0.0,1.0,1.1420973539352417,1.3862943649291992,1.1294598579406738,0.006356470752507448,0.02255639061331749,0.3231745958328247
14,150.0,4.077537536621094,4.8903489112854,2.275861978530884,0.5685012340545654,5.214935779571533,0.12021858245134354,0.562841534614563,0.0,1.0,1.1284652948379517,1.3862943649291992,1.130873203277588,0.01043219119310379,0.032786883413791656,0.3593674898147583
15,102.0,4.477336883544922,5.2257466316223145,2.126436710357666,0.3207068145275116,5.476463317871094,0.1428571492433548,0.49159663915634155,0.0,1.0,1.1370785236358643,1.3862943649291992,1.1194030046463013,0.006949807051569223,0.03361344709992409,0.3155272901058197
16,232.0,4.927253723144531,5.693732261657715,2.160583972930908,0.3284638226032257,5.916202068328857,0.07837837934494019,0.5513513684272766,0.0,1.0,1.1435636281967163,1.3862943649291992,1.1217656135559082,0.0042914533987641335,0.01621621660888195,0.30113571882247925
17,299.0,4.955827236175537,5.765191078186035,2.255319118499756,0.4503195881843567,6.03308629989624,0.06730769574642181,0.59375,0.0,1.0,1.1676051616668701,1.6094379425048828,1.1317121982574463,0.0042029512114822865,0.016826923936605453,0.3355843722820282
18,348.0,5.288267135620117,6.102558612823486,2.2639594078063965,0.5433046817779541,6.369901180267334,0.07375643402338028,0.588336169719696,0.0,1.0,1.1366397142410278,1.3862943649291992,1.1306825876235962,0.002988254651427269,0.013722127303481102,0.3283555805683136
19,434.0,5.068904399871826,5.916202068328857,2.3417720794677734,0.5517094135284424,6.2766432762146,0.0903954803943634,0.6120527386665344,0.0,1.0,1.1394343376159668,1.3862943649291992,1.135585069656372,0.0038275562692433596,0.013182674534618855,0.37026306986808777
20,216.0,4.454347133636475,5.26269006729126,2.2588236331939697,0.47660771012306213,5.648974418640137,0.16254417598247528,0.537102460861206,0.0,1.0,1.141171932220459,1.3862943649291992,1.1310601234436035,0.007398409768939018,0.02826855145394802,0.38303273916244507
21,144.0,4.382026672363281,5.153291702270508,2.177215099334717,0.3839866816997528,5.402677536010742,0.09954751282930374,0.5429864525794983,0.0,1.0,1.1284652948379517,1.3862943649291992,1.1224584579467773,0.007523939944803715,0.027149321511387825,0.3150918781757355
22,36.0,3.332204580307007,4.094344615936279,2.185185194015503,0.3153962790966034,4.454347133636475,0.1764705926179886,0.5058823823928833,0.0,1.0,1.1420973539352417,1.3862943649291992,1.1256932020187378,0.0235294122248888,0.08235294371843338,0.39270323514938354
23,299.0,4.787491798400879,5.58349609375,2.226890802383423,0.348197877407074,5.87211799621582,0.08192090690135956,0.5819209218025208,0.0,1.0,1.1435636281967163,1.3862943649291992,1.1273845434188843,0.0050527662970125675,0.02259887009859085,0.35091155767440796
24,372.0,4.905274868011475,5.733341217041016,2.2985074520111084,0.5156421065330505,6.040254592895508,0.06443914026021957,0.6157518029212952,0.0,1.0,1.158510446548462,1.6094379425048828,1.1337858438491821,0.004455568268895149,0.014319809153676033,0.35433652997016907
25,170.0,4.564348220825195,5.347107410430908,2.200000047683716,0.37098193168640137,5.620400905609131,0.11636363714933395,0.5381818413734436,0.0,1.0,1.1394343376159668,1.3862943649291992,1.1261094808578491,0.0063331881538033485,0.02909090928733349,0.32362374663352966
26,180.0,4.143134593963623,4.955827236175537,2.274193525314331,0.505163311958313,5.2781147956848145,0.10256410390138626,0.5794872045516968,0.0,1.0,1.1474024057388306,1.3862943649291992,1.1322288513183594,0.009783596731722355,0.03076923079788685,0.35002240538597107
27,396.0,5.2729997634887695,6.091310024261475,2.27319598197937,0.5539454221725464,6.361302375793457,0.06401383876800537,0.600346028804779,0.0,1.0,1.1512559652328491,1.3862943649291992,1.132071614265442,0.0030365088023245335,0.010380622930824757,0.33185091614723206
28,126.0,4.976733684539795,5.720311641693115,2.1111111640930176,0.29462066292762756,5.863631248474121,0.06267806142568588,0.5270655155181885,0.0,1.0,1.143064022064209,1.3862943649291992,1.116495132446289,0.003908007405698299,0.014245014637708664,0.22284014523029327
29,71.0,4.382026672363281,5.123963832855225,2.113924026489258,0.32140716910362244,5.370637893676758,0.16355140507221222,0.4672897160053253,0.0,1.0,1.1359997987747192,1.3862943649291992,1.118659257888794,0.007666909135878086,0.032710280269384384,0.3042965233325958
30,80.0,2.944438934326172,3.8501474857330322,2.555555582046509,0.5908422470092773,4.317488193511963,0.1756756752729416,0.5810810923576355,0.0,1.0,1.0986123085021973,1.0986123085021973,1.1426723003387451,0.032902467995882034,0.13513512909412384,0.3443323075771332
31,198.0,4.025351524353027,4.905274868011475,2.436363697052002,0.6483283638954163,5.389071941375732,0.22477063536643982,0.5229358077049255,0.0,1.0,1.1121259927749634,1.3862943649291992,1.137597680091858,0.011228262446820736,0.03211009129881859,0.32344377040863037
32,90.0,5.2983174324035645,6.0137152671813965,2.0502512454986572,0.19925439357757568,6.129050254821777,0.08733624219894409,0.4781659245491028,0.0,1.0,1.123304843902588,1.3862943649291992,1.1080292463302612,0.002788123907521367,0.017467249184846878,0.19598904252052307
33,151.0,5.153291702270508,5.908082962036133,2.133720874786377,0.36801353096961975,6.0185933113098145,0.017073171213269234,0.5634146332740784,0.0,1.0,1.421385645866394,1.7917594909667969,1.1235032081604004,0.0032165879383683205,0.012195121496915817,0.20948274433612823
